order_id,customer_id,order_date,branch,order_total
O000060,C00009,2025-03-26,Binley (Coventry),4226.94
O000061,C00009,2024-08-04,Binley (Coventry),2135.48
O000062,C00009,2025-11-07,Binley (Coventry),2603.27
O000063,C00009,2025-05-08,Binley (Coventry),4859.86
O000064,C00009,2024-05-10,Binley (Coventry),3611.68
O000065,C00010,2026-06-18,Leicester,5333.59
O000066,C00010,2026-06-07,Leicester,4997.23
O000067,C00010,2025-09-30,Leicester,7350.51
O000068,C00010,2025-01-22,Leicester,4780.47
O000069,C00010,2025-09-12,Leicester,1180.16
O000070,C00010,2025-09-21,Leicester,8655.87
O000071,C00010,2025-07-06,Leicester,3234.7
O000072,C00010,2025-06-18,Leicester,9616.11
O000073,C00010,2026-03-19,Leicester,7754.36
O000074,C00010,2024-09-17,Leicester,8251.35
O000075,C00010,2025-02-22,Leicester,4481.9
O000076,C00010,2024-04-30,Leicester,6296.1
O000077,C00010,2025-03-12,Leicester,10802.1
O000078,C00010,2025-02-27,Leicester,11164.96
O000079,C00011,2025-04-02,Birmingham South,2618.37
O000080,C00012,2026-04-03,Rugby,431.4
O000081,C00012,2025-04-27,Rugby,7697.57
O000082,C00012,2025-09-20,Rugby,4400.76
O000083,C00012,2026-05-20,Rugby,10115.71
O000084,C00013,2024-03-29,Binley (Coventry),5588.13
O000085,C00014,2026-01-13,Rugby,7718.4
O000086,C00014,2025-02-17,Rugby,7170.47
O000087,C00014,2024-12-14,Rugby,3564.73
O000088,C00014,2024-09-20,Rugby,11283.82
O000089,C00014,2026-02-14,Rugby,2796.87
O000090,C00014,2025-05-08,Rugby,356.37
O000091,C00014,2025-01-26,Rugby,2554.41
O000092,C00015,2025-12-18,Nuneaton,3036.21
O000093,C00015,2025-07-21,Nuneaton,2982.83
O000094,C00015,2025-08-10,Nuneaton,2281.07
O000095,C00015,2024-08-28,Nuneaton,2562.56
O000096,C00015,2024-07-26,Nuneaton,2063.91
O000097,C00015,2026-03-08,Nuneaton,147.45
O000098,C00015,2025-11-23,Nuneaton,8300.6
O000099,C00015,2025-09-27,Nuneaton,6842.54
O000100,C00015,2026-02-21,Nuneaton,9089.64
O000101,C00015,2025-07-07,Nuneaton,1848.24
O000102,C00015,2025-02-07,Nuneaton,4864.0
O000103,C00015,2024-11-19,Nuneaton,951.65
O000104,C00015,2025-01-23,Nuneaton,7705.46
O000105,C00015,2024-10-02,Nuneaton,6121.61
O000106,C00016,2025-04-06,Northampton,5172.05
O000107,C00016,2026-04-13,Northampton,1310.13
O000108,C00016,2026-04-03,Northampton,2588.23
O000109,C00016,2024-05-29,Northampton,1448.58
O000110,C00016,2025-03-07,Northampton,11328.82
O000111,C00016,2024-11-03,Northampton,4174.12
O000112,C00016,2025-12-08,Northampton,4362.52
O000113,C00016,2026-05-09,Northampton,2670.25
O000114,C00016,2024-09-23,Northampton,2936.88
O000115,C00016,2025-02-25,Northampton,3301.4
O000116,C00016,2024-07-22,Northampton,8902.58
O000117,C00017,2025-04-19,Binley (Coventry),3566.16
O000118,C00017,2025-10-08,Binley (Coventry),5926.22
O000119,C00017,2024-11-20,Binley (Coventry),5501.95
O000120,C00017,2026-03-10,Binley (Coventry),6448.49
O000121,C00018,2026-01-31,Binley (Coventry),822.84
O000122,C00018,2025-02-10,Binley (Coventry),147.45
O000123,C00018,2026-06-18,Binley (Coventry),6359.37
O000124,C00018,2024-09-25,Binley (Coventry),6996.6
O000125,C00018,2025-03-29,Binley (Coventry),632.58
O000126,C00018,2024-02-05,Binley (Coventry),6957.97
O000127,C00018,2024-10-05,Binley (Coventry),7600.27
O000128,C00018,2025-03-21,Binley (Coventry),8283.16
O000129,C00019,2024-01-11,Binley (Coventry),770.1
O000130,C00019,2024-12-18,Binley (Coventry),6210.06
O000131,C00019,2024-01-10,Binley (Coventry),4420.7
O000132,C00019,2025-02-25,Binley (Coventry),5715.07
O000133,C00019,2025-03-08,Binley (Coventry),3959.07
O000134,C00019,2024-10-18,Binley (Coventry),4436.54
O000135,C00019,2025-10-14,Binley (Coventry),9969.66
O000136,C00019,2024-01-20,Binley (Coventry),917.24
O000137,C00019,2024-04-14,Binley (Coventry),2690.65
O000138,C00019,2024-04-02,Binley (Coventry),3046.49
O000139,C00020,2024-12-04,Northampton,431.4
O000140,C00020,2024-02-27,Northampton,3944.92
O000141,C00020,2024-07-15,Northampton,2840.23
O000142,C00020,2026-02-28,Northampton,8398.65
O000143,C00020,2025-04-29,Northampton,4050.01
O000144,C00020,2025-06-17,Northampton,1900.64
O000145,C00020,2025-10-15,Northampton,2353.97
O000146,C00020,2024-08-29,Northampton,6500.91
O000147,C00020,2026-03-19,Northampton,6437.77
O000148,C00020,2025-12-05,Northampton,7877.32
O000149,C00020,2026-02-16,Northampton,2891.04
O000150,C00021,2024-11-20,Birmingham South,9596.7
O000151,C00021,2026-01-11,Birmingham South,3934.38
O000152,C00021,2025-12-24,Birmingham South,5318.11
O000153,C00021,2024-12-22,Birmingham South,7993.64
O000154,C00022,2025-07-08,Birmingham South,6479.88
O000155,C00022,2026-06-23,Birmingham South,2468.52
O000156,C00022,2026-03-05,Birmingham South,10530.47
O000157,C00022,2026-02-23,Birmingham South,3976.4
O000158,C00022,2024-02-14,Birmingham South,1759.76
O000159,C00022,2024-04-19,Birmingham South,11437.46
O000160,C00022,2025-12-19,Birmingham South,5314.71
O000161,C00022,2025-04-24,Birmingham South,2971.26
O000162,C00022,2026-01-31,Birmingham South,7122.88
O000163,C00022,2024-02-11,Birmingham South,862.8
O000164,C00022,2024-03-20,Birmingham South,802.52
O000165,C00022,2026-01-12,Birmingham South,1425.83
O000166,C00022,2025-06-22,Birmingham South,5122.32
O000167,C00022,2026-02-06,Birmingham South,7718.82
O000168,C00022,2024-06-19,Birmingham South,2916.91
O000169,C00022,2025-11-04,Birmingham South,4159.32
O000170,C00022,2024-11-18,Birmingham South,10368.27
O000171,C00022,2025-07-12,Birmingham South,2516.13
O000172,C00022,2025-01-03,Birmingham South,2906.95
O000173,C00023,2024-08-07,Birmingham South,4447.65
O000174,C00023,2025-07-23,Birmingham South,7155.54
O000175,C00023,2025-01-10,Birmingham South,9567.97
O000176,C00024,2025-09-01,Leicester,7098.96
O000177,C00024,2026-03-09,Leicester,1084.71
O000178,C00024,2024-12-22,Leicester,4124.75
O000179,C00024,2024-02-25,Leicester,7848.09
O000180,C00025,2025-04-01,Northampton,7683.37
O000181,C00025,2024-03-25,Northampton,6600.44
O000182,C00025,2025-05-28,Northampton,6234.63
O000183,C00025,2025-10-29,Northampton,6082.42
O000184,C00025,2024-11-27,Northampton,8979.4
O000185,C00025,2025-11-02,Northampton,976.3
O000186,C00025,2024-06-22,Northampton,5859.7
O000187,C00025,2025-03-27,Northampton,788.88
O000188,C00026,2026-01-27,Nuneaton,3681.0
O000189,C00026,2024-05-31,Nuneaton,3094.75
O000190,C00026,2025-04-27,Nuneaton,697.55
O000191,C00026,2026-01-27,Nuneaton,7959.38
O000192,C00026,2025-01-20,Nuneaton,7342.36
O000193,C00026,2024-10-04,Nuneaton,242.75
O000194,C00026,2024-03-09,Nuneaton,3813.3
O000195,C00026,2026-06-07,Nuneaton,6273.79
O000196,C00027,2025-07-28,Rugby,1927.36
O000197,C00027,2025-06-26,Rugby,1879.98
O000198,C00027,2025-12-01,Rugby,5033.14
O000199,C00027,2026-04-11,Rugby,1845.27
O000200,C00027,2026-06-18,Rugby,6256.07
O000201,C00028,2025-06-17,Birmingham South,10802.98
O000202,C00028,2025-09-11,Birmingham South,3778.29
O000203,C00028,2025-07-08,Birmingham South,3659.12
O000204,C00028,2024-05-18,Birmingham South,3951.82
O000205,C00028,2025-07-24,Birmingham South,3347.01
O000206,C00028,2024-11-06,Birmingham South,3331.34
O000207,C00028,2024-05-14,Birmingham South,4671.6
O000208,C00028,2024-09-30,Birmingham South,9620.69
O000209,C00029,2025-05-18,Nuneaton,2985.75
O000210,C00029,2025-02-26,Nuneaton,2256.66
O000211,C00030,2026-06-27,Binley (Coventry),2140.22
O000212,C00030,2026-01-22,Binley (Coventry),9893.36
O000213,C00030,2025-10-18,Binley (Coventry),616.08
O000214,C00030,2025-04-07,Binley (Coventry),9125.72
O000215,C00030,2025-07-25,Binley (Coventry),3740.9
O000216,C00030,2025-02-11,Binley (Coventry),2335.35
O000217,C00030,2024-10-28,Binley (Coventry),10051.21
O000218,C00030,2024-04-25,Binley (Coventry),2950.49
O000219,C00030,2025-02-06,Binley (Coventry),8165.05
O000220,C00030,2024-04-02,Binley (Coventry),1627.51
O000221,C00030,2024-04-26,Binley (Coventry),8835.9
O000222,C00030,2025-01-22,Binley (Coventry),7001.91
O000223,C00030,2024-07-02,Binley (Coventry),1604.1
O000224,C00030,2024-11-12,Binley (Coventry),2618.12
O000225,C00030,2026-02-22,Binley (Coventry),6735.14
O000226,C00030,2025-09-14,Binley (Coventry),10994.87
O000227,C00030,2024-03-22,Binley (Coventry),9726.08
O000228,C00030,2024-07-08,Binley (Coventry),3301.1
O000229,C00030,2024-05-28,Binley (Coventry),3359.39
O000230,C00030,2026-05-08,Binley (Coventry),5228.94
O000231,C00030,2025-09-17,Binley (Coventry),9203.55
O000232,C00030,2026-02-25,Binley (Coventry),5025.36
O000233,C00030,2026-05-13,Binley (Coventry),6565.29
O000234,C00030,2024-08-02,Binley (Coventry),5400.32
O000235,C00030,2026-01-17,Binley (Coventry),9788.98
O000236,C00030,2025-06-22,Binley (Coventry),10383.25
O000237,C00030,2026-06-23,Binley (Coventry),2718.49
O000238,C00030,2026-03-29,Binley (Coventry),4726.52
O000239,C00030,2026-03-20,Binley (Coventry),252.3
O000240,C00031,2024-12-15,Nuneaton,3530.03
O000241,C00032,2025-05-08,Binley (Coventry),6360.79
O000242,C00033,2025-08-01,Rugby,5282.81
O000243,C00033,2024-03-08,Rugby,1067.87
O000244,C00033,2025-01-19,Rugby,6005.17
O000245,C00033,2025-12-27,Rugby,1663.06
O000246,C00033,2024-03-29,Rugby,8832.54
O000247,C00033,2024-06-28,Rugby,330.14
O000248,C00034,2026-03-29,Nuneaton,7733.19
O000249,C00034,2026-03-05,Nuneaton,3130.35
O000250,C00034,2024-07-29,Nuneaton,3155.75
O000251,C00034,2025-12-31,Nuneaton,3629.37
O000252,C00034,2024-04-15,Nuneaton,5871.24
O000253,C00035,2025-11-18,Binley (Coventry),593.95
O000254,C00035,2024-06-10,Binley (Coventry),4222.47
O000255,C00035,2024-04-14,Binley (Coventry),3844.73
O000256,C00035,2024-10-04,Binley (Coventry),2435.07
O000257,C00035,2024-09-07,Binley (Coventry),2717.73
O000258,C00035,2025-07-07,Binley (Coventry),2949.11
O000259,C00035,2024-03-29,Binley (Coventry),7375.95
O000260,C00035,2024-11-15,Binley (Coventry),3518.91
O000261,C00035,2025-08-04,Binley (Coventry),2175.27
O000262,C00035,2025-04-11,Binley (Coventry),6761.67
O000263,C00035,2024-08-17,Binley (Coventry),6685.85
O000264,C00035,2025-01-07,Binley (Coventry),6259.4
O000265,C00035,2024-01-31,Binley (Coventry),761.76
O000266,C00035,2024-12-25,Binley (Coventry),9046.99
O000267,C00036,2026-03-22,Binley (Coventry),6267.94
O000268,C00036,2025-09-27,Binley (Coventry),2762.4
O000269,C00036,2024-03-08,Binley (Coventry),5264.4
O000270,C00037,2025-11-09,Binley (Coventry),2765.83
O000271,C00037,2026-05-06,Binley (Coventry),9300.08
O000272,C00038,2025-12-02,Northampton,5207.5
O000273,C00038,2026-02-12,Northampton,488.15
O000274,C00038,2025-11-07,Northampton,3892.86
O000275,C00038,2025-09-22,Northampton,11231.76
O000276,C00038,2024-04-01,Northampton,8282.29
O000277,C00038,2024-02-24,Northampton,1865.34
O000278,C00038,2026-04-20,Northampton,2244.93
O000279,C00039,2025-01-25,Rugby,5054.57
O000280,C00039,2025-01-28,Rugby,2063.65
O000281,C00039,2024-01-12,Rugby,205.03
O000282,C00039,2024-05-27,Rugby,6766.39
O000283,C00040,2024-08-18,Birmingham South,7453.45
O000284,C00041,2025-07-13,Birmingham South,10836.42
O000285,C00041,2024-05-25,Birmingham South,6686.88
O000286,C00041,2025-04-28,Birmingham South,3182.58
O000287,C00042,2025-04-25,Rugby,9600.5
O000288,C00042,2024-10-23,Rugby,5854.7
O000289,C00042,2026-01-14,Rugby,12377.28
O000290,C00043,2026-05-21,Binley (Coventry),3638.34
O000291,C00043,2024-01-15,Binley (Coventry),1234.26
O000292,C00043,2025-08-28,Binley (Coventry),3578.22
O000293,C00043,2024-09-24,Binley (Coventry),3385.0
O000294,C00043,2024-12-17,Binley (Coventry),233.05
O000295,C00043,2025-09-01,Binley (Coventry),3683.64
O000296,C00043,2024-08-31,Binley (Coventry),6607.97
O000297,C00043,2026-02-12,Binley (Coventry),1445.52
O000298,C00043,2025-04-20,Binley (Coventry),6128.1
O000299,C00043,2025-04-30,Binley (Coventry),3573.86
O000300,C00043,2026-03-27,Binley (Coventry),3137.69
O000301,C00043,2025-10-14,Binley (Coventry),4769.59
O000302,C00043,2024-10-03,Binley (Coventry),6404.91
O000303,C00043,2026-03-02,Binley (Coventry),4003.5
O000304,C00043,2025-06-16,Binley (Coventry),3884.01
O000305,C00043,2025-11-19,Binley (Coventry),258.84
O000306,C00043,2024-01-13,Binley (Coventry),5774.81
O000307,C00043,2024-07-16,Binley (Coventry),2719.0
O000308,C00043,2024-04-04,Binley (Coventry),932.2
O000309,C00043,2025-11-03,Binley (Coventry),1009.28
O000310,C00043,2024-03-29,Binley (Coventry),5433.73
O000311,C00043,2024-10-28,Binley (Coventry),7503.11
O000312,C00043,2024-09-20,Binley (Coventry),1122.69
O000313,C00043,2025-01-26,Binley (Coventry),4264.05
O000314,C00043,2025-05-18,Binley (Coventry),2689.78
O000315,C00043,2024-04-21,Binley (Coventry),2261.49
O000316,C00043,2025-09-20,Binley (Coventry),1479.15
O000317,C00043,2026-01-02,Binley (Coventry),5823.02
O000318,C00043,2026-03-06,Binley (Coventry),3791.61
O000319,C00043,2024-06-04,Binley (Coventry),5595.62
O000320,C00044,2024-01-04,Leicester,4556.94
O000321,C00044,2025-01-02,Leicester,1520.95
O000322,C00044,2025-07-01,Leicester,3280.56
O000323,C00044,2025-07-21,Leicester,605.93
O000324,C00044,2025-11-07,Leicester,742.51
O000325,C00044,2025-10-07,Leicester,4865.92
O000326,C00044,2024-02-06,Leicester,3747.61
O000327,C00045,2025-06-30,Northampton,3365.96
O000328,C00045,2024-05-01,Northampton,6640.18
O000329,C00045,2025-11-25,Northampton,4766.98
O000330,C00045,2025-04-27,Northampton,3921.82
O000331,C00045,2025-04-12,Northampton,9281.52
O000332,C00045,2024-03-05,Northampton,3181.48
O000333,C00045,2024-05-03,Northampton,3872.3
O000334,C00045,2024-03-05,Northampton,593.95
O000335,C00045,2026-02-14,Northampton,5459.25
O000336,C00045,2024-02-11,Northampton,3708.97
O000337,C00045,2026-03-07,Northampton,2868.35
O000338,C00045,2024-01-07,Northampton,221.28
O000339,C00045,2025-12-24,Northampton,7351.18
O000340,C00045,2025-06-19,Northampton,4951.06
O000341,C00046,2024-01-05,Binley (Coventry),9830.48
O000342,C00046,2026-02-27,Binley (Coventry),1795.21
O000343,C00046,2026-03-26,Binley (Coventry),6514.08
O000344,C00047,2024-08-02,Nuneaton,3223.37
O000345,C00047,2025-07-04,Nuneaton,3428.8
O000346,C00047,2025-06-11,Nuneaton,976.08
O000347,C00047,2026-01-08,Nuneaton,5572.31
O000348,C00047,2024-08-21,Nuneaton,2576.7
O000349,C00047,2026-06-09,Nuneaton,1420.91
O000350,C00048,2024-08-09,Rugby,7293.16
O000351,C00048,2024-12-09,Rugby,4784.74
O000352,C00048,2024-10-14,Rugby,4192.05
O000353,C00048,2025-03-04,Rugby,1777.54
O000354,C00048,2025-09-10,Rugby,5423.98
O000355,C00048,2025-08-14,Rugby,12168.52
O000356,C00049,2025-03-20,Nuneaton,8842.85
O000357,C00049,2024-02-11,Nuneaton,9554.67
O000358,C00049,2026-04-09,Nuneaton,3884.0
O000359,C00049,2024-09-03,Nuneaton,112.72
O000360,C00049,2025-12-10,Nuneaton,1967.57
O000361,C00049,2025-05-06,Nuneaton,3613.16
O000362,C00049,2025-04-10,Nuneaton,6066.04
O000363,C00049,2025-12-21,Nuneaton,690.96
O000364,C00049,2025-01-29,Nuneaton,4829.16
O000365,C00050,2026-01-23,Nuneaton,1848.24
O000366,C00050,2026-06-28,Nuneaton,638.95
O000367,C00050,2025-01-09,Nuneaton,7913.12
O000368,C00050,2024-05-21,Nuneaton,5430.53
O000369,C00050,2026-02-10,Nuneaton,3703.04
O000370,C00051,2024-12-19,Binley (Coventry),7863.94
O000371,C00052,2024-03-30,Rugby,545.82
O000372,C00052,2024-10-22,Rugby,294.9
O000373,C00052,2024-10-09,Rugby,518.15
O000374,C00052,2025-05-23,Rugby,4052.58
O000375,C00052,2024-10-27,Rugby,6758.54
O000376,C00052,2026-01-25,Rugby,176.61
O000377,C00052,2024-03-05,Rugby,1842.56
O000378,C00053,2025-11-02,Binley (Coventry),10184.97
O000379,C00053,2025-04-13,Binley (Coventry),4944.31
O000380,C00053,2024-08-20,Binley (Coventry),3931.05
O000381,C00053,2025-04-11,Binley (Coventry),3009.24
O000382,C00053,2024-10-19,Binley (Coventry),886.48
O000383,C00054,2025-03-27,Northampton,4627.32
O000384,C00054,2024-12-18,Northampton,4427.76
O000385,C00054,2025-06-30,Northampton,2896.46
O000386,C00054,2025-04-14,Northampton,5348.1
O000387,C00054,2025-10-24,Northampton,5252.98
O000388,C00054,2026-01-16,Northampton,4667.67
O000389,C00054,2024-04-29,Northampton,4920.67
O000390,C00054,2024-04-04,Northampton,9080.44
O000391,C00054,2024-08-15,Northampton,4873.8
O000392,C00054,2025-06-08,Northampton,8648.1
O000393,C00054,2025-02-11,Northampton,4214.66
O000394,C00055,2024-11-11,Binley (Coventry),8234.43
O000395,C00055,2024-06-16,Binley (Coventry),8266.86
O000396,C00055,2024-07-31,Binley (Coventry),5712.18
O000397,C00055,2026-02-13,Binley (Coventry),7654.39
O000398,C00055,2025-04-18,Binley (Coventry),6032.73
O000399,C00055,2026-04-22,Binley (Coventry),6054.27
O000400,C00055,2024-08-17,Binley (Coventry),209.69
O000401,C00055,2024-06-06,Binley (Coventry),2640.42
O000402,C00055,2025-03-03,Binley (Coventry),1622.13
O000403,C00055,2024-05-02,Binley (Coventry),7894.83
O000404,C00056,2025-06-08,Northampton,5029.74
O000405,C00057,2025-10-13,Northampton,2229.81
O000406,C00057,2026-02-23,Northampton,2247.5
O000407,C00057,2025-07-10,Northampton,4235.41
O000408,C00057,2024-04-08,Northampton,7994.46
O000409,C00057,2025-02-25,Northampton,1894.62
O000410,C00057,2024-08-14,Northampton,8395.42
O000411,C00057,2025-12-07,Northampton,5185.46
O000412,C00057,2026-04-18,Northampton,3209.16
O000413,C00057,2024-11-15,Northampton,5732.21
O000414,C00057,2024-06-25,Northampton,2139.76
O000415,C00059,2024-01-20,Northampton,7412.64
O000416,C00059,2024-03-01,Northampton,2216.02
O000417,C00059,2026-03-12,Northampton,1972.2
O000418,C00059,2024-07-29,Northampton,5738.89
O000419,C00059,2024-12-22,Northampton,5936.1
O000420,C00059,2025-08-06,Northampton,933.85
O000421,C00059,2026-02-20,Northampton,1078.14
O000422,C00059,2026-01-02,Northampton,733.8
O000423,C00059,2024-01-05,Northampton,690.27
O000424,C00059,2025-05-31,Northampton,5207.47
O000425,C00059,2025-01-23,Northampton,5385.13
O000426,C00059,2024-04-22,Northampton,6055.92
O000427,C00060,2025-12-04,Nuneaton,4250.65
O000428,C00060,2025-11-26,Nuneaton,4022.49
O000429,C00060,2025-03-24,Nuneaton,5564.79
O000430,C00060,2025-01-07,Nuneaton,3775.82
O000431,C00060,2024-05-05,Nuneaton,2824.17
O000432,C00060,2026-02-22,Nuneaton,12948.94
O000433,C00060,2025-05-11,Nuneaton,7032.28
O000434,C00060,2025-10-05,Nuneaton,419.35
O000435,C00060,2025-05-25,Nuneaton,958.88
O000436,C00060,2025-09-11,Nuneaton,2313.25
O000437,C00061,2025-11-08,Leicester,7118.14
O000438,C00061,2026-02-21,Leicester,641.64
O000439,C00062,2024-02-06,Binley (Coventry),1327.68
O000440,C00062,2025-11-06,Binley (Coventry),5516.42
O000441,C00062,2024-11-15,Binley (Coventry),10223.05
O000442,C00062,2025-04-26,Binley (Coventry),6347.76
O000443,C00062,2025-08-28,Binley (Coventry),4429.78
O000444,C00062,2025-08-27,Binley (Coventry),957.12
O000445,C00062,2024-12-23,Binley (Coventry),9048.73
O000446,C00062,2025-02-25,Binley (Coventry),5182.34
O000447,C00062,2025-08-29,Binley (Coventry),295.83
O000448,C00062,2026-06-08,Binley (Coventry),2654.21
O000449,C00062,2024-02-08,Binley (Coventry),7912.57
O000450,C00062,2025-12-13,Binley (Coventry),9125.9
O000451,C00063,2025-05-23,Birmingham South,9203.24
O000452,C00063,2025-05-23,Birmingham South,1553.04
O000453,C00063,2024-08-07,Birmingham South,5590.81
O000454,C00063,2025-10-01,Birmingham South,1968.97
O000455,C00063,2024-04-07,Birmingham South,9489.52
O000456,C00063,2026-03-25,Birmingham South,2050.3
O000457,C00063,2025-05-31,Birmingham South,4580.26
O000458,C00063,2025-02-15,Birmingham South,4869.65
O000459,C00063,2025-10-04,Birmingham South,14142.74
O000460,C00063,2025-08-02,Birmingham South,1078.14
O000461,C00063,2025-01-08,Birmingham South,7357.19
O000462,C00063,2026-05-30,Birmingham South,1435.21
O000463,C00063,2026-05-16,Birmingham South,3634.1
O000464,C00063,2025-02-19,Birmingham South,423.81
O000465,C00063,2024-09-08,Birmingham South,6290.1
O000466,C00063,2024-07-25,Birmingham South,836.63
O000467,C00063,2026-03-19,Birmingham South,2230.9
O000468,C00063,2024-02-26,Birmingham South,1993.0
O000469,C00063,2024-11-01,Birmingham South,3234.7
O000470,C00063,2025-01-07,Birmingham South,454.85
O000471,C00063,2024-08-29,Birmingham South,4056.71
O000472,C00063,2024-05-03,Birmingham South,8521.24
O000473,C00063,2025-09-06,Birmingham South,1073.93
O000474,C00063,2024-12-03,Birmingham South,5051.08
O000475,C00063,2024-08-07,Birmingham South,6833.71
O000476,C00063,2025-06-30,Birmingham South,2667.01
O000477,C00063,2025-05-01,Birmingham South,1658.53
O000478,C00063,2025-05-01,Birmingham South,2047.96
O000479,C00063,2025-12-08,Birmingham South,2671.47
O000480,C00063,2025-10-16,Birmingham South,6113.1
O000481,C00064,2024-02-16,Binley (Coventry),2208.48
O000482,C00065,2026-04-22,Birmingham South,5366.12
O000483,C00065,2025-12-16,Birmingham South,7567.74
O000484,C00065,2026-01-25,Birmingham South,3146.53
O000485,C00066,2025-10-05,Leicester,2806.46
O000486,C00066,2025-06-12,Leicester,5487.29
O000487,C00066,2025-04-07,Leicester,6213.01
O000488,C00066,2024-07-22,Leicester,1924.92
O000489,C00067,2025-07-25,Leicester,7083.09
O000490,C00067,2025-09-24,Leicester,5184.74
O000491,C00067,2024-01-15,Leicester,6049.17
O000492,C00067,2026-06-01,Leicester,3722.0
O000493,C00067,2026-05-26,Leicester,3017.08
O000494,C00067,2025-03-04,Leicester,1011.74
O000495,C00067,2024-10-24,Leicester,8553.17
O000496,C00067,2025-12-01,Leicester,5479.42
O000497,C00067,2025-12-26,Leicester,4766.66
O000498,C00068,2024-01-06,Nuneaton,5306.07
O000499,C00068,2024-05-15,Nuneaton,8642.06
O000500,C00068,2024-11-20,Nuneaton,4258.41
O000501,C00068,2025-03-16,Nuneaton,6361.69
O000502,C00068,2025-03-22,Nuneaton,2322.25
O000503,C00068,2025-07-23,Nuneaton,4652.41
O000504,C00068,2024-06-16,Nuneaton,7313.93
O000505,C00068,2025-12-27,Nuneaton,4222.95
O000506,C00068,2026-06-08,Nuneaton,4796.27
O000507,C00068,2025-11-10,Nuneaton,7183.84
O000508,C00068,2026-02-25,Nuneaton,2887.96
O000509,C00068,2025-01-17,Nuneaton,3575.71
O000510,C00068,2025-04-09,Nuneaton,5335.43
O000511,C00070,2025-07-14,Nuneaton,3288.05
O000512,C00071,2024-11-01,Binley (Coventry),7216.27
O000513,C00071,2025-11-12,Binley (Coventry),1035.36
O000514,C00071,2025-06-08,Binley (Coventry),6359.72
O000515,C00071,2024-10-01,Binley (Coventry),10711.26
O000516,C00071,2024-04-05,Binley (Coventry),1694.22
O000517,C00071,2025-04-19,Binley (Coventry),3854.11
O000518,C00071,2025-06-23,Binley (Coventry),5206.36
O000519,C00071,2026-05-11,Binley (Coventry),4587.99
O000520,C00071,2024-02-18,Binley (Coventry),8180.92
O000521,C00071,2025-11-07,Binley (Coventry),6557.34
